#start_time: 2025-11-25 11:13:06
#elapsed_time: 24 seconds
#outdir: /Users/amirsadri/Projects/RadQy/UserInterface/Data/T10(vis)
#scantype: MRI
#dataset: T10(vis)
#settings: inputdir=/Users/amirsadri/HRadQy/A/input_data/T10(vis) | middle_percent=70 | num_samples=3 | segmenter=Default: AdaptiveBorderSeg | save_fgbg=True
#tags (10): 1. NSL, 2. MFR, 3. B0, 4. TR, 5. TE, 6. ROW, 7. COL, 8. VRX, 9. VRY, 10. VRZ
#iqms (5): 1. MEAN, 2. RNG, 3. VAR, 4. CV, 5. CPP
#Quality Metrics:

P#	Participant (topfolder--subfolder--patient ID)	NSL	MFR	B0	TR	TE	ROW	COL	VRX	VRY	VRZ	MEAN	RNG	VAR	CV	CPP	Images
P1	06-0133--10.000000-AX T1 POST GD FLAIR-21535--TCGA-06-0133	9		3	3072.51	6.356	512	512	0.4688	0.4688	2.5	503.7229715983073	3096.0	291136.09375	111.74036322699652	377.7922233179837	TCGA-06-0133_6.png, TCGA-06-0133_9.png, TCGA-06-0133_12.png, TCGA-06-0133_15.png, TCGA-06-0133_18.png, TCGA-06-0133_21.png, TCGA-06-0133_24.png, TCGA-06-0133_27.png, TCGA-06-0133_30.png
P2	06-0138--12.000000-AX T1 POST GD FLAIR-03529--TCGA-06-0138	15		3	3148.37	6.356	512	512	0.46875	0.46875	2.5	582.4216796875	5120.933333333333	593869.3708333333	137.6857894897461	436.8162650919288	TCGA-06-0138_10.png, TCGA-06-0138_13.png, TCGA-06-0138_16.png, TCGA-06-0138_19.png, TCGA-06-0138_22.png, TCGA-06-0138_25.png, TCGA-06-0138_28.png, TCGA-06-0138_31.png, TCGA-06-0138_34.png, TCGA-06-0138_37.png, TCGA-06-0138_40.png, TCGA-06-0138_43.png, TCGA-06-0138_46.png, TCGA-06-0138_49.png, TCGA-06-0138_52.png
P3	06-0149--9.000000-AX T1 POST GD FLAIR-08425--TCGA-06-0149	17		3	3222.99	6.568	512	512	0.46875	0.46875	2.5	406.5775828642004	3750.5882352941176	331299.16727941175	147.8743501551011	304.9331914974669	TCGA-06-0149_11.png, TCGA-06-0149_14.png, TCGA-06-0149_17.png, TCGA-06-0149_20.png, TCGA-06-0149_23.png, TCGA-06-0149_26.png, TCGA-06-0149_29.png, TCGA-06-0149_32.png, TCGA-06-0149_35.png, TCGA-06-0149_38.png, TCGA-06-0149_41.png, TCGA-06-0149_44.png, TCGA-06-0149_47.png, TCGA-06-0149_50.png, TCGA-06-0149_53.png, TCGA-06-0149_56.png, TCGA-06-0149_59.png
P4	06-0175--8.000000-AXIAL T1-13040--TCGA-06-0175	15		15000	500	13	256	256	0.9375	0.9375	3	110.85563405354817	805.2	18720.797135416666	123.6175318400065	83.1417255987317	TCGA-06-0175_10.png, TCGA-06-0175_13.png, TCGA-06-0175_16.png, TCGA-06-0175_19.png, TCGA-06-0175_22.png, TCGA-06-0175_25.png, TCGA-06-0175_28.png, TCGA-06-0175_31.png, TCGA-06-0175_34.png, TCGA-06-0175_37.png, TCGA-06-0175_40.png, TCGA-06-0175_43.png, TCGA-06-0175_46.png, TCGA-06-0175_49.png, TCGA-06-0175_52.png
P5	06-0192--10.000000-AX T1 POST GD FLAIR-07635--TCGA-06-0192	17		3	3189.01	6.356	512	512	0.4688	0.4688	2.5	405.11348410213697	3226.235294117647	203463.14889705883	115.65731946159812	303.8351114989935	TCGA-06-0192_11.png, TCGA-06-0192_14.png, TCGA-06-0192_17.png, TCGA-06-0192_20.png, TCGA-06-0192_23.png, TCGA-06-0192_26.png, TCGA-06-0192_29.png, TCGA-06-0192_32.png, TCGA-06-0192_35.png, TCGA-06-0192_38.png, TCGA-06-0192_41.png, TCGA-06-0192_44.png, TCGA-06-0192_47.png, TCGA-06-0192_50.png, TCGA-06-0192_53.png, TCGA-06-0192_56.png, TCGA-06-0192_59.png
P6	06-0241--10.000000-AX T1 POST GD FLAIR-95256--TCGA-06-0241	18		3	3000	6.356	512	512	0.4688	0.4688	2.5	278.92208692762586	2481.722222222222	143896.31206597222	138.8743438720703	209.19156886728604	TCGA-06-0241_12.png, TCGA-06-0241_15.png, TCGA-06-0241_18.png, TCGA-06-0241_21.png, TCGA-06-0241_24.png, TCGA-06-0241_27.png, TCGA-06-0241_30.png, TCGA-06-0241_33.png, TCGA-06-0241_36.png, TCGA-06-0241_39.png, TCGA-06-0241_42.png, TCGA-06-0241_45.png, TCGA-06-0241_48.png, TCGA-06-0241_51.png, TCGA-06-0241_54.png, TCGA-06-0241_57.png, TCGA-06-0241_60.png, TCGA-06-0241_63.png
P7	14-0790--801.000000-T1 AX POST-02808--TCGA-14-0790	6	Philips Medical Systems	1.5	565.0	12.0	512	512	004.492188e-01	004.492188e-01	5.0	139.5759302775065	996.1666666666666	27324.615885416668	124.42351150512695	104.68194686971417	TCGA-14-0790_4.png, TCGA-14-0790_7.png, TCGA-14-0790_10.png, TCGA-14-0790_13.png, TCGA-14-0790_16.png, TCGA-14-0790_19.png
P8	14-0812--901.000000-BRAIN WOW AX T1 POST-86504--TCGA-14-0812	7	Philips Medical Systems	1.5	687.288	14	512	512	004.492190e-01	004.492190e-01	5	297.24532427106584	2010.005405970982	108850.93973214286	114.37479945591518	222.93399343883698	TCGA-14-0812_5.png, TCGA-14-0812_8.png, TCGA-14-0812_11.png, TCGA-14-0812_14.png, TCGA-14-0812_17.png, TCGA-14-0812_20.png, TCGA-14-0812_23.png
P9	14-0817--901.000000-BRAIN      T1 AX POST-47275--TCGA-14-0817	6	Philips Medical Systems	1.5	565.0	12.0	512	512	004.492188e-01	004.492188e-01	5.0	513.7521107991537	3096.399617513021	298791.4036458333	108.11908467610677	385.31407799867475	TCGA-14-0817_4.png, TCGA-14-0817_7.png, TCGA-14-0817_10.png, TCGA-14-0817_13.png, TCGA-14-0817_16.png, TCGA-14-0817_19.png
P10	14-0865--701.000000-brain with AX T1 POST-39863--TCGA-14-0865	6	Philips Medical Systems	1.5	561.737	12	512	512	005.078120e-01	005.078120e-01	5	386.3600616455078	2475.976521809896	229099.36848958334	130.326416015625	289.77005018396375	TCGA-14-0865_4.png, TCGA-14-0865_7.png, TCGA-14-0865_10.png, TCGA-14-0865_13.png, TCGA-14-0865_16.png, TCGA-14-0865_19.png
