#start_time: 2025-11-25 11:14:34
#elapsed_time: 22 seconds
#outdir: /Users/amirsadri/Projects/RadQy/UserInterface/Data/T10
#scantype: MRI
#dataset: T10
#settings: inputdir=/Users/amirsadri/HRadQy/A/input_data/T10 | middle_percent=50 | num_samples=4 | segmenter=Default: AdaptiveBorderSeg | save_fgbg=False
#tags (10): 1. NSL, 2. MFR, 3. B0, 4. TR, 5. TE, 6. ROW, 7. COL, 8. VRX, 9. VRY, 10. VRZ
#iqms (5): 1. MEAN, 2. RNG, 3. VAR, 4. CV, 5. CPP
#Quality Metrics:

P#	Participant (topfolder--subfolder--patient ID)	NSL	MFR	B0	TR	TE	ROW	COL	VRX	VRY	VRZ	MEAN	RNG	VAR	CV	CPP	Images
P1	06-0133--10.000000-AX T1 POST GD FLAIR-21535--TCGA-06-0133	5		3	3072.51	6.356	512	512	0.4688	0.4688	2.5	558.5332275390625	3104.4	269533.55	92.73569946289062	418.89991155363424	TCGA-06-0133_10.png, TCGA-06-0133_14.png, TCGA-06-0133_18.png, TCGA-06-0133_22.png, TCGA-06-0133_26.png
P2	06-0138--12.000000-AX T1 POST GD FLAIR-03529--TCGA-06-0138	8		3	3148.37	6.356	512	512	0.46875	0.46875	2.5	613.3390960693359	5415.75	589598.4296875	129.0607271194458	460.0043352406651	TCGA-06-0138_17.png, TCGA-06-0138_21.png, TCGA-06-0138_25.png, TCGA-06-0138_29.png, TCGA-06-0138_33.png, TCGA-06-0138_37.png, TCGA-06-0138_41.png, TCGA-06-0138_45.png
P3	06-0149--9.000000-AX T1 POST GD FLAIR-08425--TCGA-06-0149	9		3	3222.99	6.568	512	512	0.46875	0.46875	2.5	431.5850423177083	3711.1111111111113	338767.46875	137.3037897745768	323.6887835998947	TCGA-06-0149_18.png, TCGA-06-0149_22.png, TCGA-06-0149_26.png, TCGA-06-0149_30.png, TCGA-06-0149_34.png, TCGA-06-0149_38.png, TCGA-06-0149_42.png, TCGA-06-0149_46.png, TCGA-06-0149_50.png
P4	06-0175--8.000000-AXIAL T1-13040--TCGA-06-0175	8		15000	500	13	256	256	0.9375	0.9375	3	115.54186248779297	815.25	19012.490844726562	119.15582752227783	86.65639686584473	TCGA-06-0175_16.png, TCGA-06-0175_20.png, TCGA-06-0175_24.png, TCGA-06-0175_28.png, TCGA-06-0175_32.png, TCGA-06-0175_36.png, TCGA-06-0175_40.png, TCGA-06-0175_44.png
P5	06-0192--10.000000-AX T1 POST GD FLAIR-07635--TCGA-06-0192	9		3	3189.01	6.356	512	512	0.4688	0.4688	2.5	419.3318040635851	3186.1111111111113	185934.26041666666	104.98303137885199	314.49885405373533	TCGA-06-0192_18.png, TCGA-06-0192_22.png, TCGA-06-0192_26.png, TCGA-06-0192_30.png, TCGA-06-0192_34.png, TCGA-06-0192_38.png, TCGA-06-0192_42.png, TCGA-06-0192_46.png, TCGA-06-0192_50.png
P6	06-0241--10.000000-AX T1 POST GD FLAIR-95256--TCGA-06-0241	10		3	3000	6.356	512	512	0.4688	0.4688	2.5	276.25392150878906	2508.3	141269.9046875	136.3431854248047	207.19044513702391	TCGA-06-0241_19.png, TCGA-06-0241_23.png, TCGA-06-0241_27.png, TCGA-06-0241_31.png, TCGA-06-0241_35.png, TCGA-06-0241_39.png, TCGA-06-0241_43.png, TCGA-06-0241_47.png, TCGA-06-0241_51.png, TCGA-06-0241_55.png
P7	14-0790--801.000000-T1 AX POST-02808--TCGA-14-0790	3	Philips Medical Systems	1.5	565.0	12.0	512	512	004.492188e-01	004.492188e-01	5.0	164.4886220296224	965.3333333333334	27633.037109375	110.65688832600911	123.36646730760144	TCGA-14-0790_7.png, TCGA-14-0790_11.png, TCGA-14-0790_15.png
P8	14-0812--901.000000-BRAIN WOW AX T1 POST-86504--TCGA-14-0812	4	Philips Medical Systems	1.5	687.288	14	512	512	004.492190e-01	004.492190e-01	5	287.06710052490234	2079.7378540039062	113078.8515625	116.59487724304199	215.30032767174953	TCGA-14-0812_7.png, TCGA-14-0812_11.png, TCGA-14-0812_15.png, TCGA-14-0812_19.png
P9	14-0817--901.000000-BRAIN      T1 AX POST-47275--TCGA-14-0817	3	Philips Medical Systems	1.5	565.0	12.0	512	512	004.492188e-01	004.492188e-01	5.0	493.01177978515625	3049.038818359375	310316.6875	112.83217112223308	369.7588450069527	TCGA-14-0817_7.png, TCGA-14-0817_11.png, TCGA-14-0817_15.png
P10	14-0865--701.000000-brain with AX T1 POST-39863--TCGA-14-0865	3	Philips Medical Systems	1.5	561.737	12	512	512	005.078120e-01	005.078120e-01	5	354.34226481119794	2603.4864908854165	224801.125	137.68772633870444	265.7566877450988	TCGA-14-0865_7.png, TCGA-14-0865_11.png, TCGA-14-0865_15.png
